ID,locationCode,name,type,city,region,isActive,createdAt,createdBy,modifiedAt,modifiedBy

dc7812b7-28e8-4668-9c9f-8ad43ab36d53,LOC-1000,South Service Center 1,SERVICE_CENTER,North Judithbury,Gyeonggi,true,2026-07-01T23:13:00Z,p.rossi,2026-07-01T23:13:00Z,p.rossi
621dd3fb-a220-43f8-8817-cb2361ee66f3,LOC-1001,East Warehouse 2,WAREHOUSE,East Jill,Seoul,true,2025-11-21T21:23:00Z,asharma,2025-11-21T21:23:00Z,lchen
9c009766-f0d1-4133-8643-8736c78c3b1a,LOC-1002,West Plant 3,SERVICE_CENTER,New Roberttown,Incheon,true,2026-08-14T06:48:00Z,admin,2026-08-14T06:48:00Z,admin
759c807f-812b-496b-ae95-f989c539d42f,LOC-1003,East Dealer 4,DEALER,East Jessetown,Gyeonggi,true,2026-08-24T18:16:00Z,admin,2026-08-24T18:16:00Z,mgarcia
bc4fa1f5-5dbf-4e32-aee6-34d3cd4071c4,LOC-1004,Central Dealer 5,DEALER,Lake Debra,Daegu,true,2026-07-06T21:36:00Z,admin,2026-07-06T21:36:00Z,jkim
eb366403-27af-4380-9d74-800a53ab8081,LOC-1005,East Warehouse 6,DEALER,Robinsonshire,Ulsan,true,2026-01-04T06:53:00Z,lchen,2026-01-04T06:53:00Z,asharma
aee88716-e254-467c-922e-71ac3778bde9,LOC-1006,North Dealer 7,WAREHOUSE,Lisatown,Gyeonggi,true,2026-07-23T22:18:00Z,system,2026-07-23T22:18:00Z,mgarcia
cfb0ec19-feb6-4d4d-aa15-6bae1beb5c44,LOC-1007,South Service Center 8,DEALER,Lake Roberto,Busan,true,2026-01-07T03:07:00Z,p.rossi,2026-01-07T03:07:00Z,mgarcia
4576857b-c5ee-4fe7-9ba9-832e5145de67,LOC-1008,North Service Center 9,SERVICE_CENTER,Ericmouth,Incheon,false,2026-07-22T04:20:00Z,mgarcia,2026-07-22T04:20:00Z,p.rossi
